"filename", "language", "JavaScript JSX", "PostCSS", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\CartPage.jsx", "JavaScript JSX", 241, 0, 0, 0, 0, 3, 23, 267
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\ConfiguratorPage.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\HomePage.jsx", "JavaScript JSX", 542, 0, 0, 0, 0, 19, 47, 608
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\LoginPage.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 0, 14, 125
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\ShopPage.jsx", "JavaScript JSX", 127, 0, 0, 0, 0, 2, 16, 145
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\SuccessPage.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 3, 56
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\steps\Step1Technology.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 1, 7, 74
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\steps\Step2Panels.jsx", "JavaScript JSX", 131, 0, 0, 0, 0, 0, 12, 143
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\steps\Step3Inverter.jsx", "JavaScript JSX", 138, 0, 0, 0, 0, 0, 13, 151
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\steps\Step4BOS.jsx", "JavaScript JSX", 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\hites\OneDrive\Desktop\prj\src\pages\steps\Step5Checkout.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 6, 81
"c:\Users\hites\OneDrive\Desktop\prj\src\services\api.js", "JavaScript", 0, 0, 79, 0, 0, 3, 22, 104
"Total", "-", 3977, 1272, -816, -1505, -14, 57, 300, 3271
